Department,Discipline,Course,Section,Instructor,A,B,C,D,F,P,NP,IX,RD,SP,W,EW,TotalCount
,,,4118,CASE S A,7,4,3,,6,,1,,,,6,,27
,,FRENCH  2,2273,POURABEDI M,20,3,2,,1,2,,,,,5,,33
,,,4119,ISNER-BALL D R,16,5,,1,,2,,,,,3,,27
,,FRENCH  3,2274,GARDNER MA,11,5,1,,3,3,,,,,3,,26
,GERMAN,GERMAN  1,4124,TANAKA D J,17,4,3,1,,1,,,,,4,,30
,HEBREW,HEBREW  1,4136,ZWANG-WEISSMAN,12,3,2,1,1,3,4,,,,4,,30
,ITAL,ITAL    1,2424,LORENZI P,7,5,,,3,,,1,,,4,1,21
,,,2425,KEMITCH F A,19,5,2,,,1,1,,,,7,,35
,,ITAL    2,2426,WEISBERG A N,16,5,4,,2,1,1,,,,1,,30
,JAPAN,JAPAN   1,2427,JOHNSTON S K,7,6,,2,2,1,1,,,,5,,24
,,,2428,TSUBOI Y,13,7,,3,3,,,,,,6,,32
,,,2429,TSUBOI Y,9,7,4,1,2,,,,,,6,,29
,,,2430,SAIGUSA Y,7,4,,3,2,1,,,,,6,,23

,,,4138,TAKEMORI K,11,2,1,,6,,,,,,10,,30
,,,4139,KROUPA R A,11,5,2,1,,1,,,,,10,1,31
,,JAPAN   2,2431,HASHIMOTO Y,23,4,2,,1,1,,,,,2,,33
,,,2432,KITAZONO Y,5,4,5,2,,,,,,,5,,21
,,,4140,KATO N K,11,4,,1,2,1,1,,,,5,,25
,,JAPAN   3,4141,SAIGUSA Y,12,1,3,3,,,,,,,5,,24
,,JAPAN   4,2433,TSUBOI Y,17,5,3,,,,,,,,8,,33
,,JAPAN   9,2434,NISHIJIMA R,13,6,4,3,6,1,1,,,,4,,38
,KOREAN,KOREAN  1,2536,LEE J M,11,4,2,1,2,,1,,,,5,,26
,,,2537,CHA J,12,5,5,1,1,1,,,,,6,1,32
,,,2538,PARK JI,15,7,1,2,,1,,,,,2,,28
,,KOREAN  2,3264,TARK E,10,1,,,,,,,,,1,,12
,,,4149,CHA J,10,11,3,,1,,,,,,4,,29
,,KOREAN  4,4150,CHA J,10,7,3,,,1,,,,,1,,22
,LING,LING    1,2543,THOMAS JA,15,2,2,1,,,,,,,3,,23
,,,2544,THOMAS JA,25,7,1,2,1,,,,,,8,,44
,,,2545,THOMAS JA,16,7,6,4,2,2,,,,,3,,40
,,,2546,THOMAS JA,15,6,3,4,1,1,,,,,5,,35
,,,2547,THOMAS JA,6,7,2,2,1,2,,,,,8,,28
,PERSIN,PERSIN  2,2934,POURZANGI B,16,3,2,,1,1,,,,,3,,26
,RUSS,RUSS    2,4275,BAUCKUS S J,14,2,,,,,,,,,1,,17
,SPAN,SPAN    1,3187,ERICKSON M P,4,3,2,,2,3,2,,,,11,,27
,,,3188,ZARATE S,8,5,3,1,1,2,,,,,4,,24
,,,3189,ERICKSON M P,7,6,10,,,1,,,,,4,,28
,,,3190,ESPINAL J,15,2,1,,,,,,,,4,,22
,,,3191,MIZUKI A H,12,4,8,1,1,,1,,,,6,,33
,,,4279,RINALDI F G,20,4,4,1,2,1,,,,,1,,33
,,SPAN    2,3192,KATO N K,10,8,1,1,2,,,,,,4,1,27
,,,3193,CANDELARIA C,10,3,4,1,3,,2,1,,,2,,26
,,,3194,TRIVES T,2,5,2,2,3,2,,1,,,10,,27
,,SPAN    3,3195,LEE CHAN A,9,3,1,,1,,,,,,7,,21
,,SPAN    4,3196,MELENDEZ-BALLES,17,5,2,,4,,,,,,3,,31
,,SPAN    8,4281,ESPINAL J,14,,1,,3,1,1,,,,1,,21
,,SPAN   11,3197,LEE CHAN A,3,4,,,,1,,2,,,2,,12

,,,3198,AREVALO L H,7,9,3,1,5,,,,,,5,,30
,,SPAN   12,3199,LEE CHAN A,8,,3,,1,,,,,,6,,18
,,SPAN   20,3200,AREVALO L H,11,2,3,2,3,1,,,,,4,,26
Music,MUSIC,MUSIC   1,2790,CHOU L,22,14,1,2,,,,1,,,4,,44
,,,2791,BERGMAN J F,9,2,1,,1,,,1,,,5,,19
,,,2792,KIM J,7,7,2,,6,2,1,,,,10,,35
,,,2793,TAKESUE S A,8,2,1,2,4,,1,,,,6,,24
,,,4211,KIM J,4,2,3,2,4,,,,,,2,,17
,,,4212,GLIADKOVSKAYA E,9,6,1,,,,,,,,,,16
,,MUSIC   2,2795,SELVEY J D,6,2,1,1,8,2,,1,,,9,,30
,,MUSIC   4,2797,DRISCOLL B S,5,8,3,,,1,,,,,,,17
,,MUSIC   5,2798,AGUIAR J A,7,3,3,1,,,,,,,1,,15
,,MUSIC   6,2801,CHEESMAN J M,5,6,2,3,5,,,,,,6,,27
,,MUSIC   8,2803,DRISCOLL B S,12,3,2,,,,,,,,,,17
,,MUSIC  29,2804,TERRY L,6,1,,2,,,,,,,3,,12
,,MUSIC  31,2806,BERGMAN J F,9,3,,1,4,,,1,,,2,,20
,,MUSIC  32,2807,BERGMAN J F,11,4,3,,5,,,,,,2,,25
,,,2808,BERGMAN J F,10,7,2,,3,1,,1,,,3,,27
,,,2809,BERGMAN J F,11,2,2,2,1,1,,,,,4,,23
,,MUSIC  33,2810,FIDDMONT F K,22,2,,,1,,,,,,4,,29
,,,2811,FIDDMONT F K,19,1,,,,,,,,,1,,21
,,,2812,FIDDMONT F K,21,4,1,,1,,,,,,1,,28
,,,2813,TERRY L,12,9,,3,,,,,,,,,24
,,,2815,ONEAL K A,29,,,,3,1,1,,,,,,34
,,,2816,ONEAL K A,21,1,,,2,,,,,,1,,25
,,,4213,TERRY L,5,4,1,1,,2,,,,,,,13
,,MUSIC  36,2817,PARNELL D J,10,,1,,4,,,,,,1,,16
,,,2818,ZUSMAN S P,21,4,2,1,2,,,,,,5,,35
,,,4214,CHEESMAN J M,17,10,1,1,,,,,,,4,,33
,,MUSIC  37,2819,ALVISO J R,7,2,2,2,1,1,,,,,8,,23
,,MUSIC  42,4215,DE STEFANO J D,15,1,,,,,,,,,,,16
,,MUSIC  45,2820,SAWOSKI P,4,,,,,,,,,,1,,5
,,MUSIC  50A,2821,DE STEFANO J D,7,,,1,1,1,1,,,,2,,13
,,,2822,DE STEFANO J D,8,1,,,1,,,,,,2,,12

,,,4216,PARNELL D J,7,,,,1,,,,,,2,,10
,,,4217,SELVEY J D,2,1,,,,,,,,,1,,4
,,MUSIC  50B,2823,DE STEFANO J D,5,,,,,,,,,,2,,7
,,,3425,DE STEFANO J D,4,,,,,,,,,,,,4
,,,4218,PARNELL D J,5,,,,,,,,,,1,,6
,,,4219,SELVEY J D,5,,,,3,,,,,,,,8
,,MUSIC  53,4220,PREPONIS A,16,,,,1,,,,,,3,,20
,,MUSIC  55,4221,SELVEY J D,18,2,,,,,,,,,5,,25
,,MUSIC  57,4222,SELVEY J D,6,,,,,,,,,,,,6
,,MUSIC  59,2824,SELVEY J D,9,1,,,,,,,,,,,10
,,,3356,SORENSEN K E,19,,,,,,,,,,,,19
,,MUSIC  60A,2825,KOZLOVA YU V,7,1,4,,1,2,1,,,,8,,24
,,,2827,CHOU L,13,1,,,,1,,,,,1,,16
,,,2828,CHOU L,10,2,1,1,,,,1,,,3,,18
,,,2829,KOZLOVA YU V,8,3,,,,,,,,,5,,16
,,MUSIC  60B,2830,CHOU L,8,1,,,,,1,1,,,3,,14
,,,2831,CHOU L,12,2,,,,,,1,,,1,,16
,,,2832,KOZLOVA YU V,16,3,,1,2,,,,,,4,,26
,,MUSIC  60C,2833,KOZLOVA YU V,7,2,1,1,,,,,,,1,,12
,,MUSIC  60D,2834,CHOU L,7,,,,2,1,,,,,,,10
,,MUSIC  61B,2835,CHOU L,11,1,,,1,,,,,,2,,15
,,MUSIC  64,2836,KOZLOVA YU V,12,2,,,,1,,,,,2,,17
,,MUSIC  65B,4223,AGUIAR J A,11,,,,,2,,,,,2,,15
,,MUSIC  66,2837,TAKESUE S A,2,1,2,,6,1,1,,,,1,,14
,,MUSIC  73A,2841,SMITH ME M,8,,,,,,,,,,1,,9
,,MUSIC  73B,2842,SMITH ME M,9,,,,,,,,,,1,,10
,,MUSIC  76,4224,MC KEOWN K O,1,,,,,,,,,,,,1
,,MUSIC  77,4225,MC KEOWN K O,15,,,,,,,,,,,,15
,,MUSIC  78,2844,WHALEY T L,14,2,,,,,,,,,,,16
,,,4226,FIDDMONT F K,22,,,,,,,,,,1,,23
,,MUSIC  79A,2845,FIDDMONT F K,7,3,,,,,,1,,,2,,13
,,MUSIC  84A,2846,HARMON J M,12,,,,,2,,,,,3,,17
,,,4227,HARMON J M,16,,,,,,,,,,1,,17
,,MUSIC  84B,4228,CHEESMAN J M,6,1,,,,1,,,,,4,,12

,,,4229,CHEESMAN J M,4,1,,,,,,,,,1,,6
,,MUSIC  84C,4230,CHEESMAN J M,5,1,,,,,,,,,,,6
,,,4231,CHEESMAN J M,2,1,,,,,,,,,,,3
,,MUSIC  87A,4232,CHEESMAN J M,7,2,,,,,,,,,5,,14
,,MUSIC  87B,4233,CHEESMAN J M,8,1,,,,,,,,,,,9
,,MUSIC  88A,2848,DRISCOLL B S,4,,,,,,,,,,,,4
,,MUSIC  88B,2849,DRISCOLL B S,1,,,,,,,,,,,,1
,,MUSIC  92,2850,DRISCOLL B S,37,,,,,,,,,,1,,38
,,MUSIC  94,2851,BAGG G,15,3,,,,,,,,,1,,19
,,,2852,CHEESMAN J M,16,,2,,,,,1,,,,,19
Noncredit Edu,ESL,ESL    902,7017,HOLMES W J,,,,,,15,2,,,19,9,,45
,,ESL    903,7018,BORGARDT M L,,,,,,7,,,,16,11,,34
,,ESL    904,7019,HOLMES W J,,,,,,12,1,,,14,10,,37
,,ESL    905,7020,BORGARDT M L,,,,,,7,,,,17,14,,38
,,ESL    906,7021,KUNIMOTO T A,,,,,,19,5,,,16,7,,47
,,ESL    911,7022,BRONSTEIN M G,,,,,,6,2,,,27,12,,47
,,ESL    913,7023,WOLFE R A,,,,,,5,10,,,26,16,,57
,,,7024,STIVENER M,,,,,,21,8,,,6,21,,56
,,ESL    915,7025,WOLFE R A,,,,,,9,6,,,30,15,,60
,,,7026,DELLAPASQUA L C,,,,,,15,13,,,12,10,,50
,,ESL    961,7027,KOENIG GOLOMBEK L K,,,,,,25,2,,,17,29,,73
,,ESL    963,7028,MORGAN J S,,,,,,18,,,,34,19,,71
,,ESL    965,7029,KUNIMOTO T A,,,,,,25,4,,,16,19,,64
,,ESL    973,7030,BRONSTEIN M G,,,,,,10,1,,,23,23,,57
,,ESL    975,7031,YENSER S J,,,,,,13,2,,,29,18,,62
,,,7073,TORREZ P J,,,,,,3,,,,2,10,,15
,,ESL    980,7068,MUMBA A I,,,,,,18,,,,,10,,28
,,ESL    994,7033,POREBA J S,,,,,,6,1,,,14,6,,27
,,ESL    995,7034,POREBA J S,,,,,,7,,,,6,6,,19
Philosophy/Soci,ECON,ECON    1,1895,GARCIA C P,4,4,2,2,20,1,1,,,,8,,42
,,,1896,URRUTIA A Q,20,4,,,1,,,,,,,,25
,,,1897,URRUTIA A Q,18,11,7,1,6,,,,,,3,,46
,,,1898,BATTISTA C,2,7,11,3,2,1,,,,,14,,40
,,,1899,BATTISTA C,9,9,7,1,6,,,,,,8,,40

,,,1900,KESKINEL M,16,19,2,3,4,,,,,,3,,47
,,,1901,KESKINEL M,26,13,2,,3,,,,,,2,,46
,,,1902,CHAN A K-C,3,4,4,3,7,,1,,,,6,,28
,,,1903,CHAN A K-C,3,6,6,2,4,1,1,,,,15,,38
,,,1904,GARCIA C P,5,3,4,1,19,,,,,,6,,38
,,,1905,GARCIA C P,2,1,1,4,24,,2,,,,5,,39
,,,1906,GARCIA C P,3,2,2,1,16,,1,,,,12,1,38
,,,1907,SU B C,16,6,8,,1,,,,,,7,,38
,,,1908,SU B C,11,6,7,1,1,,,,,,12,,38
,,,1909,MARSCHALL B A,26,4,2,,2,,,,,,,,34
,,,1910,GURTOVOY J,4,5,3,2,9,1,1,,,,9,,34
,,,1911,BROWN B C,24,14,4,,,,,,,,2,,44
,,,3427,CHAN A K-C,1,1,4,5,6,1,,,,,10,,28
,,,4082,CARTER T D,16,5,7,2,3,,,,,,4,,37
,,ECON    2,1912,GARCIA C P,3,2,,2,23,1,,1,,,7,,39
,,,1913,BATTISTA C,7,4,5,4,1,,,,,,3,,24
,,,1914,BATTISTA C,11,14,6,1,4,,,,,,7,,43
,,,1915,BATTISTA C,7,13,6,5,1,,,,,,7,,39
,,,1916,KESKINEL M,32,8,2,,4,,1,,,,1,,48
,,,1917,BROWN B C,38,4,,,,,,,,,,,42
,,,1918,BROWN B C,37,4,3,1,,,,,,,2,,47
,,,1919,SU B C,15,15,3,,1,,,,,,4,,38
,,,1920,GARCIA C P,6,7,3,3,15,,2,,,,2,,38
,,,1921,GARCIA C P,1,4,2,3,19,,1,,,,4,,34
,,,1922,URRUTIA A Q,22,7,7,2,2,,1,,,,3,,44
,,,1923,URRUTIA A Q,18,9,3,,5,,,,,,4,,39
,,,3428,CHAN A K-C,6,10,6,2,3,1,1,,,,4,,33
,,,4083,CARTER T D,20,6,9,,3,1,,,,,1,,40
,,ECON    5,1924,BERMAN DIANNE R,4,3,3,1,1,1,,,,,1,,14
,,,3400,BERMAN DIANNE R,1,1,3,,2,,,,,,1,1,9
,,ECON   8,1927,URRUTIA A Q,3,1,1,1,3,,,,,,2,,11
,,ECON   15,1925,ABDEL-RAHMAN A A,2,5,3,2,,,,,,,6,,18
,,,1926,KANG K,14,6,3,,1,,,,,,2,,26
,,,3350,ABDEL-RAHMAN A A,4,9,2,,1,,,,,,7,,23

,,,3467,ABDEL-RAHMAN A A,1,1,,,1,,,,,,2,,5
,ENVRN,ENVRN  20,2174,HUFFAKER P,14,5,4,,3,2,1,,,,4,,33
,GLOBAL,GLOBAL  5,2301,BERMAN DIANNE R,2,5,1,,2,,,,,,1,,11
,,,3401,BERMAN DIANNE R,1,3,4,,5,1,,,,,3,,17
,,GLOBAL 10,2302,MONTEIRO N,19,7,9,1,,1,1,,,,3,,41
,HIST,HIST   15,2393,ABDEL-RAHMAN A A,2,3,1,,2,,,,,,2,,10
,,,2394,KANG K,9,3,5,,,1,1,,,,2,,21
,,,3351,ABDEL-RAHMAN A A,1,1,2,1,,,,,,,2,,7
,,,3468,ABDEL-RAHMAN A A,3,6,1,1,3,,,,,,1,,15
,PHILOS,PHILOS  1,2935,HUFFAKER P,15,7,1,1,1,,,,,,3,,28
,,,2936,KATHERINE A L,11,19,5,1,,,,,,,8,,44
,,,2937,DAILY M S,20,2,1,,,,,,,,2,,25
,,,2938,KATHERINE A L,12,18,12,1,2,2,,,,,24,1,72
,,,2939,DAILY M S,28,4,,,,2,,2,,,9,,45
,,,2940,BENNET S E,22,3,1,2,5,,,,,,3,,36
,,,2941,MOHSEN A M,13,3,8,3,6,,,1,,,5,,39
,,,2942,MOHSEN A M,10,6,10,,1,,1,,,,8,,36
,,,2943,MOHSEN A M,18,2,3,4,1,,,,,,6,,34
,,,2944,ORTEGA G R,23,9,,,,1,,,,,5,,38
,,,3465,KATHERINE A L,10,8,7,,,1,,,,,8,,34
,,,3466,MOHSEN A M,18,7,1,1,6,,,,,,9,1,43
,,PHILOS  2,2945,HUFFAKER P,6,6,1,1,,,,,,,2,,16
,,,2946,DAILY M S,30,3,2,1,1,,,3,,,6,,46
,,,2947,MORRIS S,19,10,8,,,1,,,,,3,,41
,,PHILOS  3,2949,MOHSEN A M,17,7,5,,2,1,,,,,8,,40
,,PHILOS  4,2950,KLUMPE P A,18,5,,,1,,,,,,3,,27
,,,2951,KLUMPE P A,8,1,2,,,1,,,,,3,1,16
,,PHILOS  7,2952,KATHERINE A L,8,6,2,,,,,,,,6,,22
,,,2953,KATHERINE A L,5,3,,,1,,,,,,3,,12
,,,2954,ORTEGA G R,18,8,2,,3,,,,,,2,,33
,,,2955,ORTEGA G R,8,4,5,3,1,,,,,,9,,30
,,PHILOS  9,2956,KLUMPE P A,8,3,,,1,,,,,,1,,13
,,,2957,KLUMPE P A,10,4,,,,,,,,,,,14
,,PHILOS 20,2958,HUFFAKER P,4,1,1,1,,,,,,,,,7

,,PHILOS 22,2959,QUESADA D M,25,5,2,,2,,,,,,4,,38
,,PHILOS 23,2960,BENNET S E,25,2,,1,6,1,,,,,2,,37
,,,2961,BENNET S E,20,4,2,,4,,,,,,6,,36
,,PHILOS 51,2962,OIFER E R,,4,1,,,,,,,,,,5
,,,2963,OIFER E R,1,3,1,,,,,,,,2,,7
,,,2964,OIFER E R,1,1,,1,,,,,,,,,3
,,PHILOS 52,4235,KURVINK S J,2,1,,,,,,,,,1,,4
,,PHILOS 88B,2967,SCHULTZ C K,1,,,,,,,,,,,,1
,POL SC,POL SC  1,3035,TAHVILDARANJESS R,13,5,,,2,,,,,,3,,23
,,,3036,WOODS V,10,8,5,4,6,,,,,,4,,37
,,,3037,SCHULTZ C K,4,3,3,,4,,,,,,9,,23
,,,3038,TAHVILDARANJESS R,27,7,3,1,1,,,1,,,6,,46
,,,3039,WOODS V,2,8,4,1,3,,1,,,,5,,24
,,,3042,TAHVILDARANJESS R,27,5,4,1,,,,,,,6,,43
,,,3043,KURVINK S J,15,11,2,1,2,1,,1,,,2,,35
,,,3044,SCHULTZ C K,11,2,1,,2,,,,,,6,,22
,,,3045,BUCKLEY A D,6,16,6,1,,,,,,,5,,34
,,,3046,TAHVILDARANJESS R,78,22,7,3,3,1,,1,,,13,,128
,,,3047,GORGIE F J,31,4,,1,,2,,,,,2,,40
,,,3048,BUCKLEY A D,5,10,5,,3,,,,,,7,,30
,,,3049,GORGIE F J,29,4,5,2,1,,,,,,2,,43
,,,3050,GORGIE F J,19,5,1,1,1,,,,,,6,,33
,,,3376,TAHVILDARANJESS R,84,18,11,1,2,,1,1,,,19,,137
,,,3469,BUCKLEY A D,2,7,10,,3,,1,,,,10,,33
,,,3503,WOODS V,20,7,5,2,1,,,,,,4,,39
,,,3504,GROPER R P,5,8,5,2,11,,,,,,3,,34
,,,4253,ANTOINE E R,9,6,1,1,6,,,5,,,7,,35
,,,4255,KURVINK S J,12,8,,,2,,,,,,1,,23
,,POL SC  2,3051,GABLER C L,10,5,1,1,5,,,,,,2,,24
,,,3052,BUCKLEY A D,8,8,9,,2,,,,,,6,,33
,,,3054,GABLER C L,20,6,4,,3,,,,,,2,,35
,,,3055,GABLER C L,12,4,3,,6,1,1,,,,1,,28
,,,3056,BUCKLEY A D,6,10,4,,3,,,,,,10,,33
,,POL SC  5,3057,BERMAN DIANNE R,1,3,1,,2,,1,,,,1,,9

,,,3402,BERMAN DIANNE R,1,5,1,,2,,,,,,1,,10
,,POL SC  7,3058,BUCKLEY A D,15,3,,,,,,,,,5,,23
,,,3059,BERMAN DIANNE R,6,13,4,2,9,,1,,,,6,,41
,,,3060,BUCKLEY A D,32,4,,,,1,,,,,2,,39
,,POL SC 21,3061,CRUZ J S,7,3,1,,,,,1,,,1,,13
,,POL SC 24,3063,GABLER C L,15,6,3,2,4,,,,,,8,,38
,,POL SC 31,3326,DAVIS SH L,19,3,4,,4,,2,,,,5,,37
,,POL SC 51,3066,OIFER E R,4,5,3,3,4,,,,,,5,,24
,,,3067,OIFER E R,5,5,,,1,,,,,,3,,14
,,,3068,OIFER E R,10,11,1,1,1,,,,,,6,1,31
,,POL SC 52,4256,KURVINK S J,10,1,1,,,,,1,,,1,,14
,,POL SC 95,3073,TAHVILDARANJESS R,7,,,,,,,,,,3,,10
,,,3339,TAHVILDARANJESS R A,,,,,,10,,,,,2,,12
,SOCIOL,SOCIOL  1,3152,ROMO R,20,11,2,,2,,,,,,2,,37
,,,3153,THING J P,15,8,4,2,7,,,,,,1,,37
,,,3154,THING J P,12,3,1,2,3,,,,,,1,,22
,,,3155,ROMO R,11,6,1,,1,,,,,,5,,24
,,,3156,ROMO R,26,9,,2,2,,,,,,5,1,45
,,,3157,WILLIAMS LEON T K,29,3,4,,3,,,,,,1,,40
,,,3158,CRAWFORD A,23,5,2,1,4,,1,1,,,2,,39
,,,3160,SCAIFE M L,13,12,2,1,5,,,,,,8,,41
,,,3161,FUJIWARA M,34,2,2,2,3,,,,,,1,,44
,,,3163,THING J P,24,10,2,,3,2,1,,,,,,42
,,,3164,DISHMAN W H,10,13,6,,,,,,,,5,,34
,,,3165,DISHMAN W H,6,6,10,2,6,,,,,,7,,37
,,,3166,ANDRADA A V,7,4,1,5,9,2,,,,,4,,32
,,,3167,GHEYTANCHI E,33,5,4,,1,1,,,,,1,,45
,,,3168,GHEYTANCHI E,17,7,5,1,6,1,,,,,2,,39
,,,3169,GHEYTANCHI E,21,10,5,,7,,,,,,1,,44
,,,3171,THING J P,20,6,5,1,2,,,,,,,,34
,,,3463,SCAIFE M L,13,6,8,,3,,1,,,,11,,42
,,,4277,ANDRADA A V,4,8,7,2,8,,,,,,10,,39
,,,4278,FUJIWARA M,32,5,2,,4,,,,,,2,,45
,,SOCIOL  2,3172,CRAWFORD A,22,12,1,,1,,,,,,2,,38

,,,3173,SCAIFE M L,2,10,6,2,2,1,,,,,5,,28
,,,3359,ANDRADA A V,5,6,1,3,2,,1,,,,5,,23
,,SOCIOL  4,3174,THING J P,30,5,,,,,,1,,,2,,38
,,,3337,KIM SOO MEE,32,,1,,5,1,,,,,6,,45
,,SOCIOL 30,3176,CRAWFORD A,13,4,2,,1,,,,,,3,,23
,,SOCIOL 31,3177,ROMO R,22,13,3,,1,1,,,,,3,,43
,,SOCIOL 32,3178,WILLIAMS LEON T K,8,2,1,,,,,,,,1,,12
,,SOCIOL 33,3179,KLEIN M C,28,3,1,,3,,,,,,6,,41
,,,3180,KLEIN M C,27,2,2,,1,,,,,,6,,38
,,SOCIOL 34,3182,FUJIWARA M,30,6,3,,2,,,,,,2,,43
,,,3338,KIM SOO MEE,18,2,4,2,5,2,,,,,7,1,41
,WGS,WGS    8,3258,URRUTIA A Q,8,5,3,2,6,,,,,,6,,30
,,WGS    10,3249,WESTERBAND Y,18,7,1,,3,,,,,,1,,30
,,,3250,WESTERBAND Y,20,1,,,3,,,,,,1,,25
,,,3251,MANOFF R J,22,12,2,,4,,,,,,4,,44
,,,3252,WESTERBAND Y,18,1,,2,1,,,,,,3,,25
,,,3253,KLEIN M C,25,7,1,,1,,,,,,5,,39
,,WGS    20,3254,BRICKLEY B,13,8,1,1,1,,,,,,1,,25
,,WGS    30,3256,WESTERBAND Y,10,2,,1,4,,1,1,,,7,,26
,,WGS    40,3257,WESTERBAND Y,16,1,1,1,,,,,,,2,,21
Photo - Fashion,FASHN,FASHN   1,2210,IVAS L,19,4,,3,8,,,1,,,1,,36
,,,2211,IVAS L,11,3,1,,12,,,1,,,4,,32
,,,2212,LOUIS L N,11,6,6,1,5,1,,,,,4,,34
,,,2213,ARMSTRONG R W,16,3,4,,4,,,,,,6,,33
,,,4101,ARMSTRONG R W,13,,2,,10,,,,,,8,,33
,,FASHN   2,2214,LAKE R G,9,3,4,,2,,,,,,7,,25
,,,2215,ARMSTRONG R W,13,4,1,,5,,,,,,1,,24
,,FASHN   3,2216,LOUIS L N,6,5,5,2,3,,,,,,2,,23
,,,2217,KHACHMANYAN S,3,6,1,1,3,,,,,,8,,22
,,,2218,COOPER S A,3,2,2,2,9,1,,,,,4,,23
,,,4102,COOPER S A,3,,2,,10,,,,,,4,,19
,,FASHN   5,2219,KOLKO S R,16,7,1,3,1,,,,,,1,,29
,,,2220,KOLKO S R,13,7,4,3,1,,,,,,4,,32
,,FASHN   6A,2221,ARDELL J B,8,5,1,,1,2,,,,,1,,18

,,,2222,KHACHMANYAN S,4,5,1,2,,,,,,,3,,15
,,FASHN   7,4103,LAKE R G,5,6,8,1,,,,,,,5,,25
,,FASHN   8,4104,REINER H G,12,7,3,2,8,,,,,,,,32
,,FASHN   9A,2223,ARMSTRONG J I,9,2,3,1,4,,,,,,7,,26
,,,4105,REINER H G,4,4,,,6,,,1,,,6,,21
,,FASHN   9B,4106,ARMSTRONG J I,3,3,2,1,3,,,,,,1,,13
,,FASHN  10,2224,ALLEN A,9,4,1,3,,,,,,,2,,19
,,FASHN  12,2225,LOUIS L N,18,7,2,,3,,,,,,,,30
,,FASHN  13,2226,ARDELL J B,15,2,,,,1,,,,,,,18
,,FASHN  17,2227,LOUIS L N,7,,1,1,,,,,,,2,,11
,,FASHN  18,2228,ARMSTRONG R W,15,4,2,,3,,,,,,2,,26
,,FASHN  19,4107,KOLKO S R,12,2,2,5,6,,,,,,4,,31
,,FASHN  20,2229,IVAS L,16,1,1,,8,,,2,,,1,,29
,,,2230,IVAS L,13,1,,,6,,,,,,5,,25
,,FASHN  21,4108,ARMSTRONG R W,9,,1,,2,,,,,,1,,13
,PHOTO,PHOTO   1,2971,THAWLEY J,10,2,1,1,,,,,,,4,,18
,,,2972,MANGUS E P,18,5,,1,5,,1,,,,1,,31
,,,2974,MANGUS E P,15,1,,,3,,,,,,1,,20
,,,2975,MANGUS E P,17,,1,1,4,,,,,,5,,28
,,,2976,NELSON H,7,1,2,,9,1,4,1,,,6,,31
,,,2977,THAWLEY J,14,1,,,5,,,,,,3,,23
,,,2978,MCDONALD S D,5,10,2,1,14,,1,,,,6,,39
,,,2980,PATUGAN R Y,11,4,6,2,4,,,,,,10,,37
,,,3476,HERE B,11,5,4,1,6,,1,,,,8,,36
,,PHOTO   2,2981,MANGUS E P,11,9,,,,2,,,,,4,,26
,,,2982,DEAN J A,5,3,1,,3,,,1,,,1,,14
,,,2983,MANGUS E P,9,4,,,,,,1,,,2,,16
,,,3355,BRIGGS T H,20,4,,,,,,,,,,,24
,,,3357,STEIL R J,11,2,,,,,,,,,,,13
,,,4236,MOULTON S A,5,5,2,,3,2,,,,,3,,20
,,PHOTO   5,2985,CALZATTI N,7,6,1,,1,,,,,,3,,18
,,,2986,CALZATTI N,4,4,1,1,1,2,1,1,,,7,,22
,,,4237,MCDONALD S D,3,,1,,7,,,,,,8,,19
,,PHOTO  30,2989,MOHR C D,4,8,1,,3,,1,,,,2,,19

,,,4238,ANDERSON DA,6,1,3,,1,,,1,,,1,,13
,,PHOTO  32,3448,SANSERI J D,2,6,2,,2,,,,,,4,,16
,,PHOTO  33,2990,SANSERI J D,3,4,1,,,,,,,,4,,12
,,PHOTO  37,4240,MOULTON S A,3,10,1,,,,,,,,2,,16
,,PHOTO  39,2992,WITHERS J J,1,2,3,1,1,,,,,,1,1,10
,,,3449,NELSON H,4,1,1,1,3,,1,,,,5,,16
,,PHOTO  42,3450,WITHERS J J,3,3,4,,,2,,,,,10,,22
,,PHOTO  43,4243,NELSON H,2,2,,,,,,,,,,,4
,,PHOTO  50,4244,NELSON H,9,,,,6,3,2,,,,2,,22
,,PHOTO  60,2994,MOHR C D,,1,,1,3,,,,,,3,1,9
,,,2995,WITHERS J J,9,3,1,2,1,,1,,,,6,,23
,,PHOTO  64,2996,MOHR C D,1,1,2,,,,2,,,,8,,14
,,PHOTO  88B,2998,SANSERI J D,1,,,,,,,,,,,,1
Physical Sciences,CHEM,CHEM    9,1401,WONG W W,4,9,2,1,5,,,,,,5,,26
,,,1402,WONG W W,8,7,3,3,1,,,,,,1,,23
,,,1403,WALKER WAUGH M V,7,4,1,2,2,1,,,,,9,,26
,,,1404,WALKER WAUGH M V,7,4,2,1,2,,,,,,1,,17
,,,4043,LIU C,24,1,,,1,,,,,,2,,28
,,,4044,LIU C,22,2,,,2,,,,,,1,,27
,,CHEM   10,1405,ABBANI M A,1,2,2,2,7,,,,,,7,,21
,,,1406,ABBANI M A,1,1,4,1,3,,,,,,10,,20
,,,1407,NGUYEN TH H,5,1,3,2,8,,,,,,6,,25
,,,1408,NGUYEN TH H,,4,7,1,6,,,,,,5,1,24
,,,1409,PAKNIA F,5,6,5,2,4,,,,,,3,,25
